beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Zlatý Bažant Pšeničné pivo,""Heineken Slovensko"",Hefeweizen,4.4,15,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-09-21 22:29:52"",https://untappd.com/c/227542478,https://untappd.com/beer/628029,https://untappd.com/brewery/5721,Slovakia,Hurbanovo,,,,Bottle,227542478,628029,5721,https://untappd.s3.amazonaws.com/photo/2015_09_21/fadbadc044fd423061c7e05adbe002dd_raw.jpg,3.22,3.41,,0,0"
"Жар-Цвет,""Старая Крепость"",Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-09-24 12:55:22"",https://untappd.com/c/228134387,https://untappd.com/beer/865905,https://untappd.com/brewery/166566,Russia,Korocha,""Белгородская область"",,,Bottle,228134387,865905,166566,,2.96,3.58,,0,0"
"Eve Passionfruit,Feldschlösschen,""Fruit Beer"",3.1,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2015-09-24 22:55:48"",https://untappd.com/c/228201441,https://untappd.com/beer/404904,https://untappd.com/brewery/3058,Switzerland,Rheinfelden,Aargau,,,Bottle,228201441,404904,3058,https://untappd.s3.amazonaws.com/photo/2015_09_24/b4164a694fa287a207d44e5d60ad8865_raw.jpg,2.56,3.43,,0,0"
"Budweiser,Anheuser-Busch,""Lager - American"",5,12,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.5,""2015-09-25 23:11:31"",https://untappd.com/c/228573373,https://untappd.com/beer/3783,https://untappd.com/brewery/44,""United States"",""St. Louis"",MO,,,Bottle,228573373,3783,44,https://untappd.s3.amazonaws.com/photo/2015_09_25/96b9701eb8b4bd961561c1d10296b6de_raw.jpg,2.56,2.56,,0,0"
"Белая хатка,Гомельхлебпром,Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-09-26 12:51:26"",https://untappd.com/c/228932846,https://untappd.com/beer/1180491,https://untappd.com/brewery/146932,Belarus,Гомель,,,,Bottle,228932846,1180491,146932,,0,3.55,,0,0"
"Craft Pilsner,""Belhaven Brewery"",""Pilsner - Other"",4.8,28,,Гамбринус,Мінск,Мінск,Беларусь,53.9039,27.5557,3.5,""2015-09-27 15:53:36"",https://untappd.com/c/229591833,https://untappd.com/beer/606791,https://untappd.com/brewery/98,Scotland,Dunbar,""East Lothian"",,,Bottle,229591833,606791,98,https://untappd.s3.amazonaws.com/photo/2015_09_27/fc7b8ae17f0114881226d16dc93dc4a3_raw.jpg,3.22,3.23,,1,0"
"Punk IPA,BrewDog,""IPA - American"",5.6,35,,Гамбринус,Мінск,Мінск,Беларусь,53.9039,27.5557,2.75,""2015-09-27 16:15:23"",https://untappd.com/c/229594436,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,Bottle,229594436,5702,241,https://untappd.s3.amazonaws.com/photo/2015_09_27/b228d4189a2a525f4cb42ce21845d0d3_raw.jpg,3.77,3.77,,0,0"
"Hamer & Sikkel,""Brouwerij De Molen"",""Porter - English"",5.2,33,,Гамбринус,Мінск,Мінск,Беларусь,53.9039,27.5557,3.75,""2015-09-27 16:56:21"",https://untappd.com/c/229600206,https://untappd.com/beer/105221,https://untappd.com/brewery/3367,Netherlands,Bodegraven,Zuid-Holland,,,Bottle,229600206,105221,3367,https://untappd.s3.amazonaws.com/photo/2015_09_27/559fc84cf502bb761f80243715c1e198_raw.jpg,3.48,3.48,,0,0"
"Blanche de Namur,""Brasserie du Bocq"",Witbier,4.5,11,,Гамбринус,Мінск,Мінск,Беларусь,53.9039,27.5557,4,""2015-09-27 17:57:25"",https://untappd.com/c/229611066,https://untappd.com/beer/222,https://untappd.com/brewery/187,Belgium,Purnode,Wallonie,,,Bottle,229611066,222,187,https://untappd.s3.amazonaws.com/photo/2015_09_27/93e54cdbdae5d632be35e6be6c03b691_raw.jpg,3.44,3.44,,0,0"
"Tennent's Whisky Oak Aged,""Tennent's Caledonian Brewery"",""Scottish Ale"",6,0,,Гамбринус,Мінск,Мінск,Беларусь,53.9039,27.5557,4,""2015-09-27 18:42:00"",https://untappd.com/c/229620229,https://untappd.com/beer/418111,https://untappd.com/brewery/1814,Scotland,Glasgow,""Glasgow City"",,,Bottle,229620229,418111,1814,https://untappd.s3.amazonaws.com/photo/2015_09_27/a2dfbd0630ad8ad707bea9fc9b0618da_raw.jpg,3.37,3.38,,0,0"
"LIDSKAE Pilsner (ЛІДСКАЕ Pilsner),""Lidskoe Pivo (Лидское Пиво)"",""Pilsner - Other"",4.2,15,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.25,""2015-09-29 23:06:18"",https://untappd.com/c/230193604,https://untappd.com/beer/242229,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,230193604,242229,33625,https://untappd.s3.amazonaws.com/photo/2015_09_29/b70e3bc0f10b9052f5b2aa7eb3a81a02_raw.jpg,2.81,2.92,,0,0"
"Пузатич - Белорусский Оригинальный,""ООО """"Маркетинг-Центр"""""",Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.5,""2015-10-01 17:21:49"",https://untappd.com/c/230581771,https://untappd.com/beer/1170187,https://untappd.com/brewery/215970,Belarus,,,,,Bottle,230581771,1170187,215970,,0,3.52,,0,0"
"Eve Grapefruit,Feldschlösschen,""Fruit Beer"",3.1,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2015-10-01 22:46:06"",https://untappd.com/c/230629716,https://untappd.com/beer/204489,https://untappd.com/brewery/3058,Switzerland,Rheinfelden,Aargau,,,Bottle,230629716,204489,3058,https://untappd.s3.amazonaws.com/photo/2015_10_01/253caeab82484b5e0978de7d432e9fb1_raw.jpg,2.64,3.47,,0,0"
"Persha Varka (Перша Варка),""Перша Приватна Броварня (Persha Pryvatna Brovarnya)"",""Lager - Pale"",5.5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.5,""2015-10-02 22:57:06"",https://untappd.com/c/230949453,https://untappd.com/beer/661070,https://untappd.com/brewery/4701,Ukraine,Lviv,,,,Bottle,230949453,661070,4701,https://untappd.s3.amazonaws.com/photo/2015_10_02/600d7c0f4642738143911f8175fa2633_raw.jpg,3.04,3.34,,0,0"
"Квас,""Krinitsa (Криница)"",Kvass,0,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2015-10-04 14:17:04"",https://untappd.com/c/231906957,https://untappd.com/beer/801649,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,231906957,801649,5860,,2.91,3.61,,0,0"
"London Pride,""Fuller's Brewery"",""English Bitter"",4.1,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-10-05 22:22:13"",https://untappd.com/c/232285471,https://untappd.com/beer/2762,https://untappd.com/brewery/3296,England,London,""Greater London"",,,Bottle,232285471,2762,3296,https://untappd.s3.amazonaws.com/photo/2015_10_05/e46e8204280d0ad0c38808a79cbe5ad0_raw.jpg,3.41,3.41,,0,0"
